标准号,国际标准编号,采标类型
GB/T 30333-2025,,
GB/T 25678-2025,,
GB/T 46709-2025,,
GB/T 2900.16-2025,,
GB/T 14038-2025,ISO 16030:2022,修改采用
GB/T 46710-2025,,
GB/T 46533-2025,,
GB/T 46565-2025,,
GB/T 19075.2-2025,ISO 13349-2:2022,等同采用
GB/T 17693.16-2025,,
GB/T 46701-2025,,
GB/T 46702-2025,,
GB/T 46691-2025,ISO 20671-2:2023,等同采用
GB/T 46632-2025,ISO 6752:2008,修改采用
GB/T 2900.106-2025,IEC 60050-872:2022,等同采用
GB/T 46645-2025,ISO 8380:1993,等同采用
GB/T 46647-2025,ISO 17314:2008,等同采用
GB/T 46648-2025,ISO 21299:2009,修改采用
GB/T 46650-2025,ISO 7918:1995,等同采用
GB/T 46652-2025,ISO 21628:2020,等同采用
GB/T 33000-2025,,
GB/T 46634-2025,ISO 11903:2008,等同采用
GB/T 46637-2025,ISO 8406:2008,等同采用
GB/T 27433-2025,,
GB/T 46638-2025,ISO 9181:2007,修改采用
GB/T 46152.1-2025,ISO 10071-1:2008,修改采用
GB/T 46711-2025,ISO 20671-3：2023,等同采用
GB/T 31150-2025,,
GB/T 33449-2025,,
GB/T 46566-2025,,
GB/T 17693.17-2025,,
GB/T 17693.19-2025,,
GB/T 17693.18-2025,,
GB/T 17693.20-2025,,
GB/T 46641-2025,ISO 7914:2023,等同采用
GB/T 29459.3-2025,,
GB/T 4960.4-2025,,
GB/T 46475-2025,,
GB/T 46737-2025,,
GB/T 34598-2025,,
GB/T 7408.2-2025,ISO 8601-2:2019,等同采用
GB/T 46572-2025,,
GB/T 46479-2025,IEC/TR 62726:2014,修改采用
GB/T 46703-2025,,
GB/T 46574-2025,,
GB/T 46704-2025,,
GB/T 17693.15-2025,,
GB/T 46567.1-2025,,
GB/T 46620-2025,ISO 13127:2012,修改采用
GB/T 46575-2025,,
GB/T 46618-2025,ISO 20690:2018,修改采用
GB/T 46619-2025,ISO 21632:2018,修改采用
GB/T 31045-2025,,
GB/T 46622.1-2025,ISO 7789:2007,修改采用
GB/T 18182-2025,,
GB/T 46642-2025,ISO 8083:2006,修改采用
GB/T 46644-2025,ISO 15341:2014,等同采用
GB/T 46646-2025,ISO 7113:1999,等同采用
GB/T 46374-2025,ISO 11221:2011,修改采用
GB/T 46375-2025,,
GB/T 46694-2025,,
GB/T 46347-2025,,
GB/T 46351-2025,,
GB/T 46204-2025,,
GB/T 46210-2025,,
GB/T 46315-2025,,
GB/T 17680.2-2025,,
GB/T 17680.9-2025,,
GB/T 46366-2025,,
GB/T 31360-2025,,
GB/T 46179-2025,ISO 14200:2021,非等效采用
GB/T 46174-2025,,
GB/T 46403-2025,,
GB/T 13701-2025,,
GB/T 11927-2025,,
GB/T 15147-2025,,
GB/T 46304-2025,,
GB/T 13372-2025,,
GB/T 17680.3-2025,,
GB/T 17680.6-2025,,
GB/T 17680.8-2025,,
GB/T 17680.4-2025,,
GB/T 17680.12-2025,,
GB/T 5962-2025,,
GB/T 4079-2025,,
GB/T 46404-2025,,
GB/T 17680.11-2025,,
GB/T 11843-2025,,
GB/T 46190-2025,,
GB/T 46189-2025,,
GB/T 46345-2025,,
GB/T 46346-2025,,
GB/T 4086.2-2025,,
GB/T 4086.5-2025,,
GB/T 4086.7-2025,,
GB/T 4086.1-2025,,
GB/T 4086.6-2025,,
GB/T 46407-2025,,
GB/T 46406-2025,,
GB/T 46405-2025,,
GB/T 46408-2025,ISO 21710:2020,等同采用
GB/T 46391-2025,,
GB/T 46305-2025,ISO/TS 23686:2022,等同采用
GB/T 46306-2025,ISO 22458:2022,等同采用
GB/T 46411-2025,,
GB/T 46410-2025,,
GB/T 46409-2025,ISO/TS 31050:2023,修改采用
GB/T 46175-2025,,
GB/T 46412-2025,,
GB/T 46401-2025,,
GB/T 46284-2025,,
GB/T 46283-2025,ISO 1828:2012,修改采用
GB/T 4086.3-2025,,
GB/T 46509-2025,,
GB/T 46510-2025,,
GB/T 46194-2025,ISO/SAE 21434:2021,等同采用
GB/T 46195-2025,ISO 16457:2022,修改采用
GB/T 32452-2025,,
GB/T 4086.4-2025,,
